,type,name,length_km,toll,lat,lon,arg_min,volume
51452,Secondary Highway,3,49,0,"[43.124487265066776 43.1424278916155 43.1857844057749 43.19325966683687
 43.21419039781038 43.220170606659956 43.26950732966893 43.284457851792865
 43.303893530553985 43.32183415710271 43.36220056683732 43.377151088961256
 43.39509171550998 43.4145273942711 43.43097296860742 43.44143833409417
 43.44741854294375 43.44293338630657 43.45339875179332 None]","[-71.44288419344298 -71.45334955892973 -71.49521102087675
 -71.52660711733701 -71.54155763946095 -71.55052795273531
 -71.58790425804514 -71.60285478016908 -71.60733993680626
 -71.62827066777976 -71.65069645096567 -71.65219150317806
 -71.64621129432848 -71.65817171202764 -71.65219150317806
 -71.65966676424003 -71.6193003545054 -71.58790425804514
 -71.56996363149642 None]",4957.0,39901.23333333333
51453,Secondary Highway,3,55,0,"[44.99629263498331 45.006758000470064 44.999282739408095 45.01423326153203
 45.02619367923118 45.04562935799229 45.05609472347905 45.04861946241708
 45.05160956684187 45.08151061108973 45.085995767726914 45.091975976576485
 45.102441342063244 45.11589681197478 45.1338374385235 45.14280775179786
 45.15028301285983 45.16822363940855 45.184669213744876 45.208590049143176
 45.22952078011668 45.2474614066654 45.25344161551497 None]","[-71.5310922739742 -71.50418133415111 -71.48325060317761 -71.4638149244165
 -71.46231987220409 -71.44288419344298 -71.4159732536199
 -71.36813158282331 -71.3486959040622 -71.33374538193827
 -71.32477506866391 -71.28739876335408 -71.28889381556647
 -71.24105214476987 -71.21563625715919 -71.18125005627414
 -71.18723026512372 -71.18872531733611 -71.18274510848653
 -71.20068573503525 -71.19321047397328 -71.19769563061047
 -71.20666594388483 None]",4223.0,878.7272727272727
51454,Secondary Highway,4,96,0,"[43.649250591616855 43.635795121705314 43.6387852261301 43.644765434979675
 43.6387852261301 43.63430006949292 43.640280278342495 43.650745643829254
 43.64177533055489 43.643270382767284 43.653735748254036 43.64626048719207
 43.647755539404464 43.640280278342495 43.62831986064335 43.60439902524506
 43.58047818984676 43.57449798099719 43.561042511085645 43.565527667722826
 43.562537563298044 43.547587041174104 43.53562662347496 43.52815136241299
 43.50871568365188 43.474329482766834 43.44442843851896 43.43695317745699
 43.43695317745699 43.42648781197024 43.41004223763392 43.393596663297586
 43.36369561904972 43.33678467922664 43.32183415710271 None]","[-72.31001447663115 -72.29805405893201 -72.25918270140978
 -72.23974702264866 -72.2337668137991 -72.20984597840079
 -72.19041029963968 -72.1874201952149 -72.14705378548027
 -72.11416263680762 -72.08874674919693 -72.04688528724992
 -72.01100403415248 -72.00203372087812 -71.97512278105503
 -71.96316236335589 -71.97661783326743 -71.97512278105503
 -71.94970689344434 -71.92578605804606 -71.90784543149734
 -71.88840975273621 -71.88242954388664 -71.86448891733792
 -71.87495428282467 -71.88691470052382 -71.87345923061228
 -71.85103344742637 -71.81365714211654 -71.78375609786868
 -71.76133031468278 -71.74936989698362 -71.68059749521353
 -71.66265686866481 -71.62827066777976 None]",4957.0,39901.23333333333
51455,Secondary Highway,BYP1,3,0,[43.0736554898454 43.08561590754454 None],[-70.7820711155651 -70.7611403845916 None],4771.0,1137.6774193548388
51456,Secondary Highway,BYP1,2,0,[43.05720991550907 43.07216043763301 None],[-70.77011069786596 -70.78057606335271 None],4771.0,1137.6774193548388
51457,Secondary Highway,102,16,0,"[42.764179681879966 42.7791302040039 42.81052630046416 42.837437240287244
 42.843417449136815 42.8703283889599 None]","[-71.4398940890182 -71.44437924565537 -71.42793367131905
 -71.39205241822161 -71.36364642618614 -71.34122064300023 None]",4756.0,1181.0645161290322
51458,Secondary Highway,101A,6,0,[42.77464504736672 42.764179681879966 42.764179681879966 None],[-71.49072586423956 -71.4638149244165 -71.4398940890182 None],4756.0,1181.0645161290322
51459,Secondary Highway,10,3,0,[42.922655216393665 42.92116016418127 None],[-72.2995491111444 -72.2756282757461 None],4943.0,4100.354838709677
51460,Secondary Highway,101,37,0,"[42.92116016418127 42.9151799553317 42.9151799553317 42.90321953763255
 42.90620964205734 42.918170059756484 42.91218985090691 42.91667500754409
 42.90471458984494 42.90471458984494 42.90022943320776 42.87630859780947
 42.87182344117229 None]","[-72.2756282757461 -72.26217280583457 -72.22778660494951
 -72.20536082176362 -72.18293503857771 -72.14854883769267
 -72.11565768902001 -72.09771706247129 -72.06781601822343
 -72.03342981733837 -72.01847929521445 -71.9840930943294
 -71.95269699786913 None]",4943.0,4100.354838709677
51461,Secondary Highway,101A,15,0,"[42.825476822588094 42.81202135267655 42.80454609161459 42.80305103940219
 42.776140099579116 None]","[-71.61780530229301 -71.59238941468232 -71.56248837043445
 -71.54155763946095 -71.49371596866436 None]",4756.0,1181.0645161290322
51462,Secondary Highway,101,28,0,"[42.86883333674751 42.86285312789793 42.852387762411176 42.846407553561605
 42.829961979225274 42.829961979225274 42.8239817703757 42.82697187480049
 42.840427344712026 42.841922396924424 None]","[-71.94821184123195 -71.92728111025845 -71.91083553592212
 -71.87644933503707 -71.79870661999261 -71.7792709412315
 -71.76432041910756 -71.75236000140842 -71.74189463592167
 -71.70302327839943 None]",1576.0,1777.0967741935483
51463,Secondary Highway,101,15,0,"[42.87182344117229 42.8927541721458 42.90022943320776 42.922655216393665
 42.936110686305206 42.9600315217035 None]","[-71.61332014565583 -71.60883498901865 -71.58192404919556
 -71.53707248282376 -71.52810216954941 -71.50119122972633 None]",4957.0,39901.23333333333
51464,Secondary Highway,104,16,0,"[43.61336933851942 43.62383470400617 43.61934954736899 43.62233965179378
 43.62831986064335 43.6387852261301 43.64626048719207 None]","[-71.64172613769131 -71.6222904589302 -71.58790425804514
 -71.54753784831053 -71.53408237839898 -71.5295972217618
 -71.50119122972633 None]",4957.0,39901.23333333333
51465,Secondary Highway,11,29,0,"[43.45190369958093 43.45339875179332 43.484794848253586 43.489280004890766
 43.51918104913863 43.53263651905017 43.53861672789974 43.55356725002368
 43.58645839869634 43.568517772147615 43.565527667722826 None]","[-71.2126461527344 -71.21862636158397 -71.24404224919466
 -71.25301256246902 -71.27244824123014 -71.27543834565492
 -71.29786412884083 -71.31430970317714 -71.38009200052247
 -71.42045841025708 -71.43391388016862 None]",4946.0,1452.6129032258063
51466,Secondary Highway,11,27,0,"[43.31884405267792 43.33528962701424 43.34276488807621 43.3681807756869
 43.375656036748865 43.40256697657195 43.41751749869588 43.43396307303221
 43.43396307303221 43.45190369958093 None]","[-70.99586358193736 -71.0078239996365 -71.01978441733566
 -71.03922009609677 -71.06015082707027 -71.11247765450405
 -71.1453688031767 -71.17078469078739 -71.18424016069892 -71.2126461527344
 None]",4946.0,1452.6129032258063
51467,Secondary Highway,125,48,0,"[42.81501145710134 42.841922396924424 42.85836797126075 42.90471458984494
 42.92415026860606 42.939100790729995 42.948071104004356 42.95704141727872
 42.99292267037615 43.010863296924875 43.03029897568599 43.04674455002232
 43.07963569869497 43.10056642966848 43.115516951792415 43.1409328394031
 43.182794301350114 43.23512112878389 43.25306175533261 43.28146774736808
 None]","[-71.10201228901728 -71.10799249786686 -71.09154692353053
 -71.07061619255703 -71.04520030494633 -71.04370525273394
 -71.05716072264549 -71.06015082707027 -71.08108155804378
 -71.07510134919421 -71.07360629698181 -71.05716072264549
 -71.03473493945958 -71.04221020052155 -71.03772504388438
 -71.01230915627369 -70.99885368636214 -70.99137842530017
 -70.97941800760103 -70.97941800760103 None]",4946.0,1452.6129032258063
51468,Secondary Highway,16,68,0,"[43.480309691616405 43.49825031816513 43.5266563102006 43.5490820933865
 43.567022719935224 43.59692376418309 43.631309965068134
 43.644765434979675 43.67167637480276 43.71503288896217 43.743438880997644
 43.756894350909185 43.76885476860833 43.81520138719252 43.824171700466884
 43.85706284913954 43.88696389338741 43.89294410223698 43.91387483321049
 43.925835250909635 43.93929072082118 43.9572313473699 43.96022145179469
 43.9572313473699 43.96022145179469 43.97367692170622 43.9796571305558
 43.99759775710452 44.017033435865635 None]","[-70.99885368636214 -71.02576462618522 -71.02576462618522
 -71.03922009609677 -71.04071514830916 -71.0317448350348
 -71.04819040937113 -71.06613103591985 -71.07360629698181
 -71.1229430199908 -71.12742817662797 -71.13938859432712
 -71.15882427308824 -71.1902203695485 -71.20666594388483
 -71.20517089167244 -71.22909172707072 -71.22759667485833
 -71.23806204034508 -71.22311151822116 -71.22460657043355
 -71.20816099609722 -71.19620057839808 -71.1662995341502
 -71.14985395981388 -71.14088364653952 -71.11696281114122
 -71.10948755007925 -71.11397270671644 None]",4946.0,1452.6129032258063
51469,Secondary Highway,16,30,0,"[44.111221725246416 44.12467719515796 44.14560792613147 44.16504360489258
 44.188964440290874 44.22185558896353 44.23531105887507 44.26072694648576
 44.27567746860969 44.290627990733626 44.32202408719389 44.33697460931782
 44.36687565356569 44.387806384539196 None]","[-71.17975500406175 -71.1902203695485 -71.1902203695485 -71.22012141379636
 -71.22610162264594 -71.25450761468142 -71.2574977191062
 -71.25002245804423 -71.23058677928312 -71.22460657043355
 -71.21713130937158 -71.20816099609722 -71.17526984742456
 -71.17227974299978 None]",4036.0,4333.4838709677415
51470,Secondary Highway,16,12,0,"[44.39827175002595 44.45209362967211 44.46853920400844 44.476014465070406
 44.51040066595546 44.52834129250417 None]","[-71.19620057839808 -71.18872531733611 -71.18424016069892
 -71.17078469078739 -71.15882427308824 -71.16480448193781 None]",4036.0,4333.4838709677415
51471,Secondary Highway,16,14,0,"[44.77951006418627 44.79296553409781 44.80642100400935 44.815391317283705
 44.818381421708494 44.83333194383243 44.83333194383243 44.84977751816876
 44.86173793586791 None]","[-71.13191333326516 -71.10799249786686 -71.11397270671644
 -71.10350734122969 -71.08706176689336 -71.07510134919421
 -71.06015082707027 -71.06015082707027 -71.04669535715873 None]",4223.0,878.7272727272727
51472,Secondary Highway,25,33,0,"[43.71054773232499 43.71652794117456 43.73446856772328 43.761379507546366
 43.78679539515705 43.7987558128562 43.80772612613056 43.81520138719252
 43.825666752679275 43.825666752679275 43.828656857104065
 43.831646961528854 43.8211815960421 None]","[-71.4608248199917 -71.43690398459341 -71.4144782014075 -71.38756726158442
 -71.37859694831006 -71.36813158282331 -71.35318106069938
 -71.35318106069938 -71.33673548636305 -71.30832949432758
 -71.29337897220364 -71.2560026668938 -71.20218078724764 None]",4946.0,1452.6129032258063
51473,Secondary Highway,25,7,0,"[43.658220904891216 43.67317142701515 43.68662689692669 43.71054773232499
 None]","[-71.49969617751393 -71.48474565539 -71.45783471556692 -71.4608248199917
 None]",4957.0,39901.23333333333
51474,Secondary Highway,25,18,0,"[43.756894350909185 43.78829044736944 43.79576570843141 43.79277560400662
 43.7972607606438 43.79427065621902 None]","[-71.14088364653952 -71.09005187131814 -71.04968546158352
 -71.03922009609677 -71.00931905184889 -70.98838832087539 None]",4036.0,4333.4838709677415
51475,Secondary Highway,26,57,0,"[44.89313403232816 44.89163898011577 44.8856587712662 44.87668845799184
 44.87070824914226 44.87519340577944 44.87220330135466 44.86472804029269
 44.86472804029269 44.824361630558066 44.815391317283705 44.80044079515977
 44.80343089958456 44.80044079515977 44.77951006418627 44.77053975091191
 44.752599124363186 44.72867828896489 44.70176734914181 44.69877724471702
 None]","[-71.49521102087675 -71.46830008105367 -71.44138914123059
 -71.42344851468187 -71.38756726158442 -71.37560684388528
 -71.34271569521262 -71.33075527751348 -71.29188391999125
 -71.25151751025663 -71.24703235361945 -71.21563625715919
 -71.20517089167244 -71.17825995184936 -71.13191333326516
 -71.12593312441558 -71.12742817662797 -71.09154692353053
 -71.05566567043309 -71.03323988724719 None]",4223.0,878.7272727272727
51476,Secondary Highway,28,44,0,"[43.124487265066776 43.15438830931464 43.16933883143858 43.1857844057749
 43.202229980111234 43.22764586772192 43.25156670312021 43.27548753851851
 43.29791332170441 43.312863843828346 43.31884405267792 43.33528962701424
 43.3442599402886 43.36369561904972 43.378646141173654 43.389111506660406
 43.4130323420587 43.43246802081981 43.45190369958093 None]","[-71.44288419344298 -71.40550788813314 -71.40401283592075
 -71.38756726158442 -71.38756726158442 -71.36065632176134
 -71.37411179167289 -71.36813158282331 -71.35019095627459
 -71.33075527751348 -71.30683444211519 -71.29935918105322
 -71.26796308459295 -71.25450761468142 -71.2574977191062
 -71.24852740583184 -71.20517089167244 -71.20517089167244
 -71.2126461527344 None]",4957.0,39901.23333333333
51477,Secondary Highway,9,43,0,"[42.95554636506632 42.96900183497786 42.96750678276547 42.97199193940265
 42.99740782701333 43.00338803586291 43.00039793143812 43.01235834913727
 43.024318766836416 43.03777423674796 43.03777423674796 43.04225939338514
 43.05571486329668 43.06767528099583 43.0736554898454 43.06767528099583
 43.07515054205779 43.07515054205779 43.08412085533215 43.09159611639412
 43.112526847367626 43.115516951792415 None]","[-72.27413322353371 -72.25619259698499 -72.22778660494951
 -72.2083509261884 -72.18891524742729 -72.17246967309096 -72.1620043076042
 -72.15751915096703 -72.12462800229437 -72.10220221910848
 -72.08276654034735 -72.073796227073 -72.07828138371018 -72.06333086158624
 -72.04539023503752 -72.03043971291359 -72.01399413857726 -71.982598042117
 -71.96465741556828 -71.96615246778067 -71.95269699786913
 -71.94223163238237 None]",4943.0,4100.354838709677
51478,Secondary Highway,9,31,0,"[42.88378385887144 42.8912591199334 42.89723932878298 42.8927541721458
 42.90321953763255 42.89873438099537 42.90022943320776 42.9151799553317
 42.927140373030845 42.925645320818454 42.930130477455634
 42.922655216393665 42.94508099957957 None]","[-72.55221293503888 -72.5282920996406 -72.51932178636623
 -72.49988610760512 -72.46849001114485 -72.44755928017135
 -72.42214339256066 -72.40121266158715 -72.3668264607021
 -72.35187593857817 -72.32646005096748 -72.2995491111444
 -72.29356890229482 None]",5065.0,1410.645161290323
51479,Secondary Highway,3,11,0,"[43.45339875179332 43.46087401285529 43.484794848253586 43.49974537037752
 43.50124042258991 43.51619094471385 None]","[-71.56996363149642 -71.5520230049477 -71.53707248282376
 -71.51763680406265 -71.50866649078829 -71.48773575981478 None]",4957.0,39901.23333333333
51480,Secondary Highway,202,4,0,[43.32930941816467 43.32482426152749 43.33528962701424 None],[-70.97493285096385 -70.95848727662752 -70.9405466500788 None],4946.0,1452.6129032258063
51481,Secondary Highway,202,20,0,"[43.194754719049264 43.19774482347405 43.199239875686445
 43.206715136748414 43.220170606659956 43.23063597214671 43.23512112878389
 43.24857659869543 43.25007165090782 43.27100238188133 43.28146774736808
 43.296418269492015 None]","[-71.14985395981388 -71.14686385538909 -71.11546775892883
 -71.09005187131814 -71.06912114034463 -71.06762608813224
 -71.05566567043309 -71.04819040937113 -71.03922009609677
 -71.01679431291086 -71.01230915627369 -70.99436852972497 None]",4946.0,1452.6129032258063
51482,Secondary Highway,202,45,0,"[42.71484295887098 42.738763794269275 42.753714316393214 42.77464504736672
 42.79258567391544 42.81202135267655 42.81650650931373 42.835942188074846
 42.841922396924424 42.86285312789793 42.86883333674751 42.88826901550862
 42.90471458984494 42.922655216393665 42.93312058188042 42.94657605179196
 42.98694246152658 42.99591277480094 43.006378140287694 43.031794027898385
 43.04674455002232 43.06468517657104 43.0960812730313 43.111031795155235
 None]","[-72.01548919078965 -72.03492486955076 -72.03941002618795
 -72.03193476512598 -72.03342981733837 -72.02744960848881
 -72.00651887751529 -71.98558814654179 -71.96615246778067
 -71.96166731114349 -71.94821184123195 -71.94671678901956
 -71.93625142353281 -71.94223163238237 -71.9601722589311
 -71.96465741556828 -71.9377464757452 -71.92578605804606
 -71.93326131910801 -71.9377464757452 -71.93027121468323
 -71.91532069255929 -71.91980584919648 -71.91831079698409 None]",4943.0,4100.354838709677
51483,Secondary Highway,202,22,0,"[43.14541799604028 43.15289325710225 43.17083388365097 43.190269562412084
 43.178309144712934 43.17681409250054 43.18129924913772 None]","[-71.87495428282467 -71.86299386512553 -71.85103344742637
 -71.8241225076033 -71.74787484477123 -71.72395400937295 -71.6880727562755
 None]",4957.0,39901.23333333333
51484,Secondary Highway,3,33,0,"[43.565527667722826 43.568517772147615 43.5954287119707 43.60290397303266
 43.61187428630702 43.63280501728053 43.64177533055489 43.652240696041645
 43.67167637480276 43.71204278453738 43.71802299338695 43.72549825444892
 43.731478463298494 43.731478463298494 43.71802299338695 43.69559721020105
 43.69858731462584 None]","[-71.43391388016862 -71.44736935008017 -71.4608248199917
 -71.45484461114214 -71.47577534211564 -71.48773575981478
 -71.49969617751393 -71.49670607308914 -71.50268628193872
 -71.52660711733701 -71.53408237839898 -71.56398342264684
 -71.56846857928403 -71.59089436246992 -71.62378551114259
 -71.63126077220456 -71.64621129432848 None]",4957.0,39901.23333333333
51485,Secondary Highway,3,64,0,"[44.49694519604392 44.50741056153067 44.5223610836546 44.541796762415714
 44.559737388964436 44.564222545601616 44.58515327657513 44.59412358984949
 44.61804442524778 44.644955365070864 44.658410834982405 44.67784651374352
 44.6823316703807 44.71671787126574 44.731668393389675 44.751104072150795
 44.78848037746063 44.80642100400935 44.813896265071314 44.827351734982855
 44.85127257038115 44.86173793586791 44.87668845799184 44.89014392790338
 44.909579606664494 44.918549919938854 44.932005389850396
 44.97237179958501 44.97984706064698 44.99629263498331 None]","[-71.575943840346 -71.56846857928403 -71.57444878813361 -71.56846857928403
 -71.57743889255839 -71.55650816158489 -71.5310922739742
 -71.51165659521308 -71.54006258724856 -71.54305269167334
 -71.56547847485925 -71.5729537359212 -71.58491415362036 -71.5968745713195
 -71.61631025008062 -71.62827066777976 -71.5729537359212
 -71.56697352707164 -71.56996363149642 -71.55351805716009
 -71.5520230049477 -71.54305269167334 -71.51315164742547
 -71.49969617751393 -71.49072586423956 -71.49521102087675
 -71.51315164742547 -71.51464669963786 -71.5310922739742 -71.5310922739742
 None]",4036.0,4333.4838709677415
51486,Secondary Highway,3,40,0,"[44.199429805777626 44.2293308500255 44.24428137214943 44.24428137214943
 44.2517566332114 44.26521210312294 44.269697259760115 44.283152729671656
 44.30557851285756 44.31604387834432 44.33697460931782 44.35790534029133
 44.372855862415264 44.383321227902016 44.41322227214989 44.42368763763664
 44.44312331639775 44.48647983055716 None]","[-71.68059749521353 -71.67162718193917 -71.65069645096567
 -71.63275582441695 -71.59388446689472 -71.5729537359212
 -71.54305269167334 -71.54753784831053 -71.54604279609812
 -71.55800321379728 -71.56846857928403 -71.58790425804514
 -71.61182509344344 -71.60285478016908 -71.59238941468232
 -71.59388446689472 -71.57893394477078 -71.56996363149642 None]",4946.0,1452.6129032258063
51487,Secondary Highway,3,10,0,"[43.024318766836416 43.03926928896035 43.06468517657104 43.07814064648258
 43.124487265066776 None]","[-71.44437924565537 -71.43241882795623 -71.44587429786777
 -71.45932976777931 -71.44288419344298 None]",4957.0,39901.23333333333
51488,Secondary Highway,302,14,0,"[44.017033435865635 44.005073018166485 43.99311260046734
 43.996102704892124 43.99161754825494 44.000587861529304 None]","[-71.11546775892883 -71.08855681910575 -71.08257661025617
 -71.07211124476942 -71.04819040937113 -70.99586358193736 None]",4036.0,4333.4838709677415
51489,Secondary Highway,302,85,0,"[44.284647781884054 44.278667573034475 44.281657677459265
 44.269697259760115 44.272687364184904 44.27567746860969 44.26820220754772
 44.27119231197251 44.26521210312294 44.269697259760115 44.26371705091054
 44.25474673763618 44.24129126772464 44.211390223476776 44.193449596928055
 44.17401391816694 44.16354855268019 44.13065740400753 44.12019203852078
 44.096271203122484 44.07982562878615 44.07833057657376 44.07384541993658
 44.08580583763573 44.100756359759664 44.111221725246416
 44.112716777458814 44.102251411972055 44.07683552436137 44.06637015887462
 44.04992458453829 44.017033435865635 None]","[-71.74488474034645 -71.7134886438862 -71.65219150317806
 -71.62827066777976 -71.57893394477078 -71.56099331822206
 -71.52810216954941 -71.51763680406265 -71.49670607308914
 -71.47577534211564 -71.45783471556692 -71.45035945450495
 -71.42793367131905 -71.40401283592075 -71.40550788813314 -71.393547470434
 -71.36813158282331 -71.36215137397375 -71.35467611291178
 -71.35318106069938 -71.34570579963741 -71.31580475538955
 -71.30085423326561 -71.2141412049468 -71.20218078724764
 -71.18424016069892 -71.1677945863626 -71.15284406423866
 -71.13789354211472 -71.14237869875191 -71.12593312441558
 -71.11546775892883 None]",4036.0,4333.4838709677415
51490,Secondary Highway,302,34,0,"[44.15308318719343 44.14411287391907 44.15906339604301 44.16803370931737
 44.17102381374215 44.181489179228905 44.188964440290874
 44.199429805777626 44.200924857990024 44.211390223476776
 44.22036053675114 44.23381600666268 44.24577642436182 44.24577642436182
 44.25773684206097 44.283152729671656 44.30856861728235 None]","[-72.04090507840034 -72.02445950406401 -71.96465741556828
 -71.96465741556828 -71.94821184123195 -71.94073658016998
 -71.94970689344434 -71.94671678901956 -71.92429100583365
 -71.91532069255929 -71.89588501379818 -71.88691470052382
 -71.8704691261875 -71.86000376070074 -71.83010271645287
 -71.80767693326698 -71.79870661999261 None]",4957.0,39901.23333333333
51491,Secondary Highway,4,60,0,"[43.22764586772192 43.22166565887235 43.224655763297136 43.22166565887235
 43.22316071108474 43.21867555444756 43.206715136748414 43.187279457987295
 43.17980419692533 43.15887346595182 43.15438830931464 43.14840810046507
 43.14990315267746 43.14392294382789 43.15438830931464 43.14990315267746
 43.1409328394031 43.13046747391635 43.13046747391635 43.124487265066776
 None]","[-71.36065632176134 -71.3262701208763 -71.31131959875236
 -71.29337897220364 -71.25151751025663 -71.2141412049468
 -71.17227974299978 -71.13938859432712 -71.10649744565447
 -71.07211124476942 -71.05566567043309 -71.00184379078694
 -70.98390316423821 -70.95699222441513 -70.94353675450358
 -70.92559612795486 -70.91513076246811 -70.87625940494588
 -70.85233856954758 -70.83439794299888 None]",4771.0,1137.6774193548388
51492,Secondary Highway,202,11,0,[43.24259638984585 43.24857659869543 43.22764586772192 None],[-71.45334955892973 -71.42045841025708 -71.36065632176134 None],4957.0,39901.23333333333
51493,Major Highway,101,14,0,"[42.841922396924424 42.81800156152613 42.82248671816331 42.841922396924424
 42.855377866835966 42.87182344117229 None]","[-71.70302327839943 -71.65219150317806 -71.6193003545054
 -71.61780530229301 -71.61033004123104 -71.61332014565583 None]",4756.0,1181.0645161290322
51494,Major Highway,16,13,0,"[43.32781436595228 43.33229952258946 43.366685723474504 43.39509171550998
 43.42499275975785 43.44293338630657 43.480309691616405 None]","[-70.9853982164506 -70.98390316423821 -70.98838832087539
 -71.00333884299933 -71.00931905184889 -71.00333884299933
 -70.99885368636214 None]",4946.0,1452.6129032258063
51495,Major Highway,16,7,1,"[43.124487265066776 43.14840810046507 43.17083388365097 43.182794301350114
 None]","[-70.83439794299888 -70.84336825627322 -70.86280393503435
 -70.88223961379546 None]",4771.0,1137.6774193548388
51496,Major Highway,16,11,1,[43.21867555444756 43.278477642943294 43.28146774736808 None],[-70.8942000314946 -70.96895264211427 -70.97941800760103 None],4946.0,1452.6129032258063
51497,Major Highway,16,2,0,[43.28146774736808 43.296418269492015 None],[-70.97941800760103 -70.99436852972497 None],4946.0,1452.6129032258063
51498,Major Highway,9,3,0,[43.115516951792415 43.111031795155235 None],[-71.94223163238237 -71.91831079698409 None],4943.0,4100.354838709677
51499,Major Highway,9,2,0,[42.94508099957957 42.95554636506632 None],[-72.29356890229482 -72.27413322353371 None],4943.0,4100.354838709677
51500,Major Highway,202,4,0,"[43.296418269492015 43.31435889604074 43.32781436595228 43.32930941816467
 None]","[-70.99436852972497 -70.99735863414975 -70.9853982164506
 -70.97493285096385 None]",4946.0,1452.6129032258063
51501,Major Highway,4,7,0,"[43.0736554898454 43.094586220818904 43.106546638518054 43.124487265066776
 None]","[-70.7820711155651 -70.8074870031758 -70.81496226423775 -70.83439794299888
 None]",4771.0,1137.6774193548388
51502,Major Highway,202,6,0,"[43.111031795155235 43.111031795155235 43.120002108429595
 43.14541799604028 None]","[-71.91831079698409 -71.90037017043537 -71.88691470052382
 -71.87495428282467 None]",4957.0,39901.23333333333
51503,Major Highway,3,9,0,"[43.51619094471385 43.51170578807667 43.52815136241299 43.547587041174104
 43.555062302236074 43.565527667722826 None]","[-71.48773575981478 -71.45783471556692 -71.44437924565537
 -71.4398940890182 -71.43092377574384 -71.43391388016862 None]",4957.0,39901.23333333333
51504,Major Highway,393,9,0,"[43.217180502235166 43.22914091993431 43.23362607657149 43.24259638984585
 None]","[-71.53408237839898 -71.48923081202717 -71.4608248199917
 -71.45334955892973 None]",4957.0,39901.23333333333
51505,Road,1,7,0,[40.775760239396746 40.81911675355615 40.84303758895445 None],[-74.03978988637031 -74.00839378991006 -74.00540368548526 None],148.0,6139.548387096775
51506,Secondary Highway,9,13,0,"[39.42273798718072 39.43021324824269 39.45712418806577 39.482540075676454
 39.501975754437574 39.54682732080937 None]","[-74.4987709155751 -74.4957808111503 -74.46886987132721 -74.45989955805287
 -74.45690945362807 -74.46587976690243 None]",1458.0,1304.548387096774
51507,Secondary Highway,202,22,0,"[40.946196191609594 40.964136818158316 40.9910477579814 41.00749333231772
 41.01646364559208 41.034404272140804 41.05533500311431 41.06580036860107
 41.08374099514979 41.10766183054808 None]","[-74.27301803150368 -74.26703782265412 -74.27899824035326
 -74.27152297929129 -74.25059224831779 -74.23564172619385
 -74.21321594300795 -74.20723573415837 -74.17733468991051
 -74.14892869787504 None]",4864.0,2181.2580645161293
51508,Secondary Highway,202,16,0,"[40.753334456210844 40.78174044824632 40.79818602258265 40.82958211904291
 40.866958424352745 40.86546337214035 None]","[-74.52717690761057 -74.4957808111503 -74.48083028902637
 -74.47933523681398 -74.43747377486696 -74.42401830495542 None]",5163.0,626.4444444444445
51509,Secondary Highway,202,1,0,[40.86546337214035 40.871443580989926 None],[-74.42401830495542 -74.42102820053063 None],5163.0,626.4444444444445
51510,Secondary Highway,30,42,0,"[39.91909532169533 39.89666953850943 39.83088724116412 39.81593671904018
 39.80547135355343 39.80248124912865 39.760619787181625 39.74865936948248
 39.71576822080983 39.6993226464735 39.670916654438024 39.64699581903973
 None]","[-75.08931653947049 -75.07137591292177 -75.00110845893927
 -74.99213814566491 -74.96672225805422 -74.94280142265593
 -74.88449438637258 -74.8800092297354 -74.85459334212472
 -74.84562302885035 -74.82319724566446 -74.78881104477941 None]",4105.0,268.7307692307692
51511,Secondary Highway,322,43,0,"[39.80248124912865 39.769590100455986 39.75762968275684 39.75463957833205
 39.74267916063291 39.73669895178333 39.73370884735855 39.71875832523461
 39.700817698685896 39.700817698685896 39.685867176561956
 39.688857280986745 None]","[-75.34796057221455 -75.334505102303 -75.2881584837188 -75.2462970217718
 -75.22536629079828 -75.22387123858589 -75.20742566424956 -75.152108732391
 -75.1057621138068 -75.08333633062091 -74.99512825008969
 -74.99213814566491 None]",145.0,9110.451612903224
51512,Secondary Highway,322,33,0,"[39.66194634116366 39.63653045355298 39.62307498364144 39.6081244615175
 39.599154148243144 39.570748156207664 39.51991638098629 39.47655986682688
 None]","[-74.96522720584183 -74.93383110938157 -74.92486079610721
 -74.89944490849652 -74.86655375982386 -74.82170219345207
 -74.78881104477941 -74.71106832973496 None]",1613.0,2057.483870967742
51513,Secondary Highway,46,22,0,"[40.83257222346769 40.82958211904291 40.83257222346769 40.84303758895445
 40.854998006653595 40.875928737627106 40.866958424352745
 40.859483163290776 40.859483163290776 40.846027693379234 None]","[-75.00110845893927 -74.97419751911619 -74.95924699699225
 -74.9502766837179 -74.927850900532 -74.9054251173461 -74.87701912531062
 -74.87103891646105 -74.84113787221318 -74.8142269323901 None]",1518.0,1608.0967741935483
51514,Secondary Highway,9W,14,0,"[40.86097821550317 40.87293863320232 40.90732483408736 40.97460218364507
 41.00151312346815 None]","[-73.96503727575065 -73.9530768580515 -73.93513623150278
 -73.91420550052928 -73.91121539610448 None]",148.0,6139.548387096775
51515,Secondary Highway,TRK1,4,0,[40.73389877744973 40.72343341196298 None],[-74.12500786247674 -74.0906216615917 None],148.0,6139.548387096775
51516,Secondary Highway,1,7,0,[40.225581025235975 40.26744248718299 None],[-74.76489020938111 -74.71405843415974 None],1458.0,1304.548387096774
