new_ev,capacity
new_ev_141_0,9.0
new_ev_1420_0,0.0
new_ev_1420_1,0.0
new_ev_1420_2,7.0
new_ev_1424_0,28.0
new_ev_1426_0,0.0
new_ev_1426_1,0.0
new_ev_1426_2,0.0
new_ev_1427_0,150.0
new_ev_1427_1,150.0
new_ev_1427_2,150.0
new_ev_1427_3,150.0
new_ev_1428_0,150.0
new_ev_1428_1,150.0
new_ev_1428_2,120.0
new_ev_1428_3,150.0
new_ev_142_0,0.0
new_ev_142_1,0.0
new_ev_142_2,0.0
new_ev_142_3,6.0
new_ev_1431_0,150.0
new_ev_1432_0,44.0
new_ev_1432_1,0.0
new_ev_1432_2,0.0
new_ev_1433_0,150.0
new_ev_1434_0,150.0
new_ev_1434_1,150.0
new_ev_1436_0,71.0
new_ev_1436_1,150.0
new_ev_1436_2,0.0
new_ev_1436_3,0.0
new_ev_1437_0,13.0
new_ev_1437_1,0.0
new_ev_1437_2,0.0
new_ev_1438_0,0.0
new_ev_1438_1,0.0
new_ev_1438_2,80.0
new_ev_1439_0,0.0
new_ev_1439_1,0.0
new_ev_1439_2,0.0
new_ev_1439_3,0.0
new_ev_1439_4,29.0
new_ev_1439_5,0.0
new_ev_143_0,0.0
new_ev_143_1,0.0
new_ev_143_2,133.0
new_ev_143_3,0.0
new_ev_1440_0,28.0
new_ev_1441_0,119.0
new_ev_1443_0,16.0
new_ev_1444_0,0.0
new_ev_1444_1,0.0
new_ev_1444_2,0.0
new_ev_1444_3,0.0
new_ev_1444_4,73.0
new_ev_1446_0,15.0
new_ev_1446_1,0.0
new_ev_1447_0,0.0
new_ev_1447_1,123.0
new_ev_1448_0,150.0
new_ev_1448_1,150.0
new_ev_1448_2,6.0
new_ev_1448_3,0.0
new_ev_1448_4,0.0
new_ev_1448_5,0.0
new_ev_1448_6,0.0
new_ev_144_0,0.0
new_ev_144_1,0.0
new_ev_144_2,0.0
new_ev_144_3,0.0
new_ev_144_4,0.0
new_ev_144_5,132.0
new_ev_1450_0,15.0
new_ev_1451_0,0.0
new_ev_1451_1,0.0
new_ev_1451_10,150.0
new_ev_1451_11,0.0
new_ev_1451_2,0.0
new_ev_1451_3,0.0
new_ev_1451_4,0.0
new_ev_1451_5,0.0
new_ev_1451_6,76.0
new_ev_1451_7,150.0
new_ev_1451_8,150.0
new_ev_1451_9,0.0
new_ev_1452_0,0.0
new_ev_1452_1,6.0
new_ev_1453_0,150.0
new_ev_1454_0,42.0
new_ev_1454_1,0.0
new_ev_1455_0,59.0
new_ev_1455_1,149.0
new_ev_1456_0,19.0
new_ev_1456_1,0.0
new_ev_1456_2,0.0
new_ev_1456_3,150.0
new_ev_1457_0,51.0
new_ev_1457_1,150.0
new_ev_1457_2,0.0
new_ev_1457_3,0.0
new_ev_1457_4,0.0
new_ev_1457_5,0.0
new_ev_1459_0,5.0
new_ev_145_0,0.0
new_ev_145_1,39.0
new_ev_145_2,0.0
new_ev_1461_0,0.0
new_ev_1461_1,150.0
new_ev_1461_2,27.0
new_ev_1462_0,119.0
new_ev_1464_0,0.0
new_ev_1464_1,0.0
new_ev_1464_2,0.0
new_ev_1464_3,0.0
new_ev_1464_4,0.0
new_ev_1464_5,130.0
new_ev_1465_0,130.0
new_ev_1465_1,0.0
new_ev_1465_2,0.0
new_ev_1469_0,47.0
new_ev_1469_1,0.0
new_ev_146_0,16.0
new_ev_1470_0,0.0
new_ev_1470_1,116.0
new_ev_1470_2,150.0
new_ev_1470_3,0.0
new_ev_1471_0,0.0
new_ev_1471_1,122.0
new_ev_1471_2,0.0
new_ev_1471_3,0.0
new_ev_1471_4,0.0
new_ev_1471_5,0.0
new_ev_1471_6,0.0
new_ev_1471_7,0.0
new_ev_1479_0,150.0
new_ev_1479_1,150.0
new_ev_1479_2,150.0
new_ev_1479_3,94.0
new_ev_1485_0,69.0
new_ev_1485_1,0.0
new_ev_1486_0,58.0
new_ev_1489_0,44.0
new_ev_148_0,115.0
new_ev_148_1,0.0
new_ev_1490_0,0.0
new_ev_1490_1,108.0
new_ev_1491_0,14.0
new_ev_1491_1,0.0
new_ev_1491_2,0.0
new_ev_1491_3,0.0
new_ev_1497_0,0.0
new_ev_1497_1,150.0
new_ev_1497_2,138.0
new_ev_1497_3,0.0
new_ev_1497_4,0.0
new_ev_1498_0,34.0
new_ev_1498_1,150.0
new_ev_1498_2,0.0
new_ev_149_0,53.0
new_ev_1504_0,120.0
new_ev_1504_1,0.0
new_ev_1505_0,54.0
new_ev_1506_0,0.0
new_ev_1506_1,106.0
new_ev_1509_0,25.0
